resource_id,citation_key,short_label,year,linked_publications,setting,record_basis,origin,focal_task,participants,robot_instances,robot_platforms,focal_tasks,environment_configurations,sessions_or_trials,duration,access_status,H_capabilityAndRole,H_physicalState,H_action,H_intent,H_internalState,R_capabilityAndConfiguration,R_physicalState,R_action,R_intent,T_specification,T_structure,T_allocation,T_workObjectState,T_execution,E_geometricStructure,E_semanticContent,E_operatingConditions,I_modality,I_representationForm,I_unitOfObservation,I_measurementUnit,I_source,I_perspective,I_encodingMethod,I_spatialReference,I_temporalReference,cross_referent_relations
RES-CON-0030-01,Fu2025,Fu2025,2025,10.1016/j.aei.2024.103054,immersive/VR,mixed,real,window installation,11,not reported,not reported,1,1,not reported,not reported,available on request,captured,captured,notReported,notReported,captured,captured,captured,captured,notReported,captured,notReported,captured,notReported,captured,notReported,notReported,notReported,reported,notReported,notReported,reported,notReported,notReported,reported,notReported,notReported,directed psychological relation
RES-CON-0031-01,Sabiri202554,Sabiri2025,2025,10.1109/roboticcc68732.2025.00017,immersive/VR,mixed,real,wall construction; reinforcement,not reported,not reported,not reported,2,1,not reported,not reported,not reported,notReported,notReported,notReported,notReported,captured,captured,notReported,captured,notReported,notReported,notReported,notReported,notReported,captured,captured,captured,notReported,reported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,directed psychological relation
RES-CON-0034-01,Yang2025,Yang2025,2025,10.1016/j.aei.2025.103475,not reported,mixed,real,robotic fabrication,8,1,1,1,1,not reported,not reported,available on request,captured,captured,captured,notReported,notReported,captured,notReported,captured,captured,captured,captured,captured,notReported,captured,notReported,captured,notReported,reported,reported,reported,reported,notReported,notReported,notReported,reported,reported,notReported
RES-CON-0036-01,Loy2025451,Loy2025,2025,10.1007/978-981-96-8769-5_33,immersive/VR,episode,not reported,Architectural Design-Fabrication,not reported,1,1,1,1,not reported,not reported,not reported,captured,notReported,notReported,notReported,notReported,captured,notReported,captured,notReported,captured,notReported,notReported,notReported,captured,notReported,notReported,captured,reported,reported,reported,notReported,notReported,notReported,notReported,notReported,reported,notReported
RES-CON-0039-01,Hwang2025,Hwang2025,2025,10.1061/jcemd4.coeng-16853,not reported,episode,real,Collaborative Bricklaying,5,1,1,1,1,not reported,not reported,available on request,notReported,notReported,notReported,notReported,captured,captured,notReported,notReported,captured,notReported,captured,notReported,captured,captured,captured,captured,captured,reported,reported,reported,reported,reported,reported,notReported,notReported,notReported,notReported
RES-CON-0040-01,Khajehee2025265,Khajehee2025,2025,10.52842/conf.caadria.2025.2.265,not reported,episode,not reported,BRICKLAYING,not reported,2,2,1,2,not reported,not reported,not reported,notReported,notReported,captured,notReported,notReported,captured,notReported,captured,notReported,captured,captured,captured,notReported,captured,notReported,notReported,notReported,reported,reported,notReported,reported,notReported,notReported,notReported,reported,reported,notReported
RES-CON-0041-01,Lee2025,Lee2025,2025,10.3390/app152111827,not reported,mixed,real,tile-laying,60,1,1,1,1,not reported,not reported,metadata only,captured,notReported,captured,notReported,captured,captured,notReported,notReported,captured,notReported,notReported,notReported,notReported,captured,notReported,notReported,captured,reported,notReported,reported,reported,reported,notReported,notReported,reported,notReported,communication;directed psychological relation
RES-CON-0042-01,Johnsson2025745,Johnsson2025,2025,10.52842/conf.ecaade.2025.1.745,not reported,episode,not reported,manufacturing structural connection joints; initial guide cuts along beams,not reported,1,1,2,not reported,not reported,not reported,not reported,notReported,notReported,notReported,notReported,notReported,captured,notReported,captured,notReported,captured,notReported,notReported,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,reported,notReported,notReported
RES-CON-0043-01,doi:10.1061/JCCEE5.CPENG-6302,Chang2025,2025,10.1061/jccee5.cpeng-6302,immersive/VR,mixed,real,masonry task,89,4,4,1,1,not reported,not reported,available on request,captured,captured,captured,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,captured,notReported,captured,captured,notReported,captured,reported,reported,notReported,reported,reported,notReported,reported,reported,reported,directed psychological relation
RES-CON-0044-01,Lin2025,Lin2025,2025,10.1016/j.autcon.2025.106147,on-site,episode,real,not reported,3,1,1,not reported,1,not reported,not reported,not reported,notReported,notReported,notReported,notReported,notReported,captured,captured,captured,captured,notReported,notReported,captured,captured,captured,captured,captured,notReported,reported,reported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,proximity
RES-CON-0045-01,Guan2025,Guan2025,2025,10.1016/j.aei.2025.103315,not reported,episode,real,earthmoving,6,1,1,1,not reported,not reported,not reported,planned release,notReported,captured,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,captured,captured,notReported,notReported,captured,notReported,reported,notReported,reported,notReported,notReported,notReported,notReported,reported,notReported
RES-CON-0046-01,Lee2025374,Lee2025,2025,10.1007/978-3-031-87364-5_31,laboratory mock-up,episode,real,bricklaying,12,not reported,not reported,1,1,not reported,not reported,not reported,notReported,notReported,notReported,notReported,captured,captured,notReported,captured,notReported,notReported,notReported,notReported,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0047-01,Shayesteh20251996,Shayesteh2025,2025,10.1139/cjce-2025-0139,immersive/VR,mixed,not reported,bricklaying construction,not reported,1,1,1,1,not reported,not reported,available on request,captured,captured,notReported,notReported,captured,captured,notReported,captured,notReported,notReported,notReported,notReported,captured,captured,notReported,notReported,captured,reported,notReported,notReported,notReported,notReported,notReported,reported,notReported,reported,coordination/synchronization;shared attention/awareness
RES-CON-0048-01,WOS:001538991700001,Liang2025,2025,10.1016/j.cscm.2025.e05051,laboratory mock-up,episode,real,3D printing,not reported,1,1,1,1,not reported,not reported,available on request,notReported,notReported,notReported,notReported,captured,captured,notReported,notReported,notReported,notReported,notReported,notReported,captured,captured,notReported,notReported,notReported,reported,reported,notReported,reported,reported,notReported,notReported,reported,notReported,notReported
RES-CON-0049-01,Duan2025713,Duan2025,2025,10.1061/9780784486443.078,not reported,model-generated,not reported,reinforcement,not reported,1,1,1,not reported,not reported,not reported,not reported,notReported,notReported,captured,notReported,notReported,captured,captured,captured,captured,notReported,notReported,notReported,notReported,captured,notReported,notReported,notReported,notReported,reported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0050-01,Zhao2025263,Zhao2025,2025,10.21872/2025iise_5555,immersive/VR,mixed,not reported,picking up bricks; applying mortar; placing bricks at designated locations,not reported,1,1,3,1,not reported,not reported,not reported,notReported,captured,notReported,notReported,captured,notReported,notReported,notReported,notReported,captured,captured,captured,notReported,captured,notReported,notReported,notReported,reported,notReported,notReported,reported,notReported,notReported,reported,notReported,reported,notReported
RES-CON-0051-01,Yang2025,Yang2025,2025,10.1145/3706599.3720104,immersive/VR,mixed,real,holding the timber beam; inserting screws,10,1,1,2,1,not reported,not reported,not reported,captured,captured,notReported,notReported,captured,captured,captured,captured,notReported,captured,captured,notReported,notReported,captured,notReported,captured,notReported,reported,notReported,reported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0052-01,Chang2025412,Chang2025,2025,10.1109/vr59515.2025.00065,on-site,mixed,real,bricklaying,105,3,3,1,1,not reported,not reported,not reported,captured,captured,notReported,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,captured,notReported,captured,notReported,notReported,notReported,reported,notReported,notReported,reported,notReported,notReported,reported,notReported,reported,notReported
RES-CON-0053-01,Han2025325,Han2025,2025,10.52842/conf.caadria.2025.2.325,on-site,episode,real,structure assembly,not reported,2,1,1,1,not reported,not reported,not reported,notReported,notReported,captured,notReported,notReported,captured,notReported,captured,captured,captured,notReported,notReported,notReported,captured,captured,notReported,notReported,reported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,communication
RES-CON-0055-01,Lin2025,Lin2025,2025,10.3390/systems13111000,on-site,elicited,real,not reported,not reported,not reported,not reported,not reported,1,not reported,not reported,available on request,captured,captured,captured,notReported,captured,notReported,notReported,captured,captured,captured,notReported,captured,notReported,captured,notReported,notReported,captured,reported,notReported,notReported,reported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0056-01,Luo2025347,Luo2025,2025,10.52842/conf.caadria.2025.2.347,not reported,episode,not reported,pick-and-place,not reported,not reported,not reported,1,1,not reported,not reported,not reported,notReported,notReported,captured,notReported,notReported,captured,notReported,captured,notReported,captured,notReported,captured,captured,notReported,notReported,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,reported,notReported
RES-CON-0057-01,Park2025,Park2025,2025,10.35490/ec3.2025.437,not reported,mixed,real,line-drawing,11,not reported,not reported,1,not reported,not reported,not reported,not reported,captured,captured,captured,notReported,captured,captured,captured,captured,notReported,notReported,notReported,captured,notReported,captured,notReported,notReported,notReported,notReported,notReported,reported,notReported,notReported,notReported,notReported,reported,notReported,notReported
RES-CON-0058-01,Hidding2025513,Hidding2025,2025,10.1007/978-3-032-02106-9_57,on-site,episode,real,assembly of 3D-printed building components,not reported,1,1,1,1,not reported,not reported,not reported,notReported,notReported,notReported,notReported,notReported,captured,notReported,captured,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,reported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0059-01,Guo2025,Guo2025,2025,10.1016/j.aei.2025.103647,simulation,mixed,real,pipeline malfunction inspection,116,1,1,1,1,not reported,not reported,available on request,captured,captured,notReported,notReported,captured,notReported,notReported,notReported,notReported,captured,captured,captured,notReported,captured,notReported,notReported,captured,reported,notReported,notReported,reported,notReported,notReported,reported,notReported,reported,directed psychological relation
RES-CON-0060-01,Park2025,Park2025,2025,10.1061/jccee5.cpeng-6106,immersive/VR,mixed,real,drywall installation,12,1,1,1,1,not reported,55 min,available on request,captured,captured,captured,notReported,captured,captured,captured,captured,captured,captured,captured,notReported,notReported,captured,captured,notReported,notReported,reported,notReported,notReported,reported,notReported,notReported,notReported,notReported,notReported,communication
RES-CON-0061-01,Zhou2025234,Zhou2025,2025,10.22260/isarc2025/0032,simulation,model-generated,synthetic,not reported,not reported,2,1,not reported,1,not reported,not reported,not reported,notReported,notReported,captured,notReported,captured,captured,notReported,captured,captured,notReported,captured,captured,captured,captured,captured,notReported,captured,reported,reported,notReported,notReported,notReported,reported,notReported,notReported,notReported,notReported
RES-CON-0062-01,Zhang2025954,Zhang2025,2025,10.1061/9780784486443.104,immersive/VR,mixed,real,not reported,8,1,1,not reported,1,not reported,not reported,not reported,notReported,captured,captured,notReported,captured,captured,captured,captured,notReported,notReported,notReported,captured,notReported,captured,notReported,notReported,captured,reported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0063-01,Kudla2025,Kudla2025,2025,10.35490/ec3.2025.397,not reported,episode,not reported,Plastering,not reported,1,1,1,1,not reported,not reported,not reported,notReported,notReported,captured,notReported,notReported,captured,notReported,captured,captured,captured,notReported,captured,captured,captured,notReported,notReported,notReported,reported,reported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0064-01,WOS:001693089900053,Chen2025,2025,not reported,simulation,episode,real,bricklaying,4,3,3,1,1,not reported,not reported,not reported,notReported,captured,captured,notReported,captured,captured,captured,captured,captured,notReported,captured,notReported,notReported,captured,captured,notReported,captured,reported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,communication
RES-CON-0065-01,Zhu2025166,Zhu2025,2025,10.1109/icrsa66467.2025.11382184,not reported,episode,not reported,robotic masonry,not reported,1,1,1,not reported,not reported,not reported,not reported,notReported,notReported,captured,notReported,notReported,captured,notReported,captured,captured,notReported,captured,captured,captured,captured,notReported,notReported,captured,notReported,notReported,notReported,reported,notReported,notReported,notReported,notReported,notReported,communication
RES-CON-0066-01,Chang2025,Chang2025,2025,10.1016/j.aei.2025.103110,not reported,mixed,real,bricklaying,89,1,1,1,not reported,not reported,not reported,available on request,notReported,captured,notReported,notReported,captured,captured,notReported,notReported,notReported,notReported,notReported,captured,notReported,captured,notReported,notReported,notReported,reported,notReported,notReported,reported,reported,notReported,notReported,notReported,reported,notReported
RES-CON-0067-01,Tehrani2025,Tehrani2025,2025,10.1061/jccee5.cpeng-6570,not reported,model-generated,not reported,Wood Assembly,not reported,not reported,not reported,1,not reported,not reported,not reported,available on request,notReported,notReported,captured,notReported,notReported,captured,notReported,captured,notReported,captured,captured,captured,notReported,captured,captured,notReported,captured,reported,reported,notReported,reported,notReported,notReported,notReported,notReported,notReported,task allocation/authority
RES-CON-0068-01,Zhang2025877,Zhang2025,2025,10.22260/isarc2025/0114,immersive/VR,episode,real,not reported,30,1,1,not reported,1,not reported,not reported,not reported,captured,captured,notReported,notReported,captured,notReported,captured,captured,notReported,notReported,notReported,notReported,notReported,captured,notReported,notReported,notReported,reported,notReported,reported,notReported,reported,notReported,notReported,notReported,notReported,notReported
RES-CON-0069-01,Back2025413,Back2025,2025,10.22260/isarc2025/0055,not reported,episode,not reported,reinforcement,not reported,not reported,not reported,1,not reported,not reported,not reported,not reported,notReported,notReported,notReported,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0070-01,Xiong2025295,Xiong2025,2025,10.52842/conf.caadria.2025.2.295,not reported,episode,real,natural timber structure construction,10,not reported,not reported,1,not reported,not reported,not reported,not reported,captured,notReported,notReported,notReported,notReported,captured,notReported,captured,notReported,captured,notReported,notReported,captured,captured,notReported,notReported,notReported,notReported,notReported,reported,reported,notReported,reported,notReported,reported,notReported,notReported
RES-CON-0071-01,Guo202513256,Guo2025,2025,10.1109/lra.2025.3629986,not reported,mixed,real,not reported,30,not reported,not reported,not reported,1,not reported,not reported,not reported,captured,captured,captured,notReported,captured,captured,notReported,captured,notReported,captured,captured,captured,notReported,captured,notReported,notReported,notReported,reported,notReported,notReported,reported,notReported,notReported,notReported,notReported,reported,directed psychological relation
RES-CON-0072-01,Pan2025682,Pan2025,2025,10.1061/9780784485910.065,not reported,episode,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,notReported,notReported,captured,captured,notReported,notReported,notReported,captured,captured,notReported,captured,captured,notReported,captured,captured,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,communication;proximity
RES-CON-0073-01,Birol2025,Birol2025,2025,10.1177/23297662251388855,not reported,episode,not reported,Clay Printing,not reported,1,1,1,not reported,not reported,not reported,not reported,notReported,notReported,notReported,notReported,captured,captured,notReported,captured,notReported,notReported,notReported,notReported,captured,captured,notReported,notReported,notReported,notReported,notReported,notReported,reported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0074-01,Rasines2025,Rasines2025,2025,10.3390/robotics14080114,not reported,mixed,real,Mastic Deposition,10,1,1,1,not reported,not reported,not reported,restricted,notReported,captured,captured,notReported,captured,captured,notReported,captured,captured,notReported,notReported,captured,notReported,captured,notReported,notReported,notReported,reported,reported,notReported,reported,reported,notReported,notReported,notReported,notReported,notReported
RES-CON-0075-01,Mansuri202597,Mansuri2025,2025,10.52842/conf.ecaade.2025.2.097,not reported,episode,not reported,Robotic Fabrication,not reported,1,1,1,1,not reported,not reported,not reported,notReported,notReported,captured,notReported,notReported,captured,notReported,captured,captured,notReported,captured,captured,notReported,captured,notReported,notReported,notReported,notReported,reported,notReported,notReported,notReported,notReported,notReported,reported,notReported,task allocation/authority
RES-CON-0076-01,WOS:001723278600004,Bagheri2025,2025,10.1145/3745778.3766668,not reported,episode,not reported,dry-assembled pavilion structure production,not reported,1,1,1,not reported,not reported,not reported,not reported,notReported,notReported,notReported,notReported,notReported,captured,notReported,captured,captured,captured,captured,notReported,captured,captured,notReported,notReported,notReported,notReported,notReported,notReported,reported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0077-01,Duan2025,Duan2025,2025,10.1016/j.autcon.2025.106130,on-site,mixed,real,window-frame operation,not reported,1,1,1,1,not reported,not reported,available on request,notReported,captured,captured,notReported,notReported,captured,captured,captured,captured,captured,notReported,notReported,notReported,captured,notReported,captured,notReported,reported,reported,reported,notReported,notReported,notReported,notReported,reported,reported,notReported
RES-CON-0078-01,Tian2025,Tian2025,2025,10.26599/jic.2025.9180092,not reported,mixed,real,hammer handover; trowel handover; rebar lifting,8,1,1,3,4,not reported,not reported,not reported,notReported,notReported,notReported,captured,notReported,captured,notReported,captured,captured,notReported,notReported,notReported,notReported,captured,notReported,captured,captured,reported,notReported,notReported,reported,notReported,notReported,notReported,reported,notReported,notReported
RES-CON-0079-01,Ron2025964,Ron2025,2025,10.1145/3764687.3769950,laboratory mock-up,mixed,real,Timber Assembly,21,1,1,1,1,not reported,not reported,not reported,captured,notReported,captured,notReported,notReported,captured,notReported,captured,captured,captured,notReported,captured,notReported,captured,notReported,notReported,notReported,reported,reported,reported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0080-01,Chenchu2025813,Chenchu2025,2025,10.22260/isarc2025/0106,not reported,episode,real,drywall installation,3,not reported,not reported,1,not reported,not reported,not reported,not reported,captured,notReported,captured,captured,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,reported,notReported
RES-CON-0081-01,Wang2025,Wang2025,2025,10.1016/j.autcon.2025.106464,not reported,model-generated,not reported,structure assembly,not reported,1,1,1,1,not reported,not reported,available on request,notReported,notReported,captured,notReported,notReported,captured,notReported,captured,captured,captured,captured,captured,captured,captured,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0082-01,Zhang2025,Zhang2025,2025,10.3390/buildings15203685,not reported,elicited,not reported,Plastering,not reported,not reported,not reported,1,1,not reported,not reported,not reported,captured,captured,captured,notReported,notReported,captured,notReported,captured,captured,captured,captured,captured,notReported,captured,captured,notReported,captured,reported,notReported,notReported,reported,reported,notReported,reported,notReported,notReported,directed psychological relation
