resource_id,citation_key,short_label,year,setting,focal_task,H_capabilityAndRole,H_physicalState,H_action,H_intent,H_internalState,R_capabilityAndConfiguration,R_physicalState,R_action,R_intent,T_specification,T_structure,T_allocation,T_workObjectState,T_execution,E_geometricStructure,E_semanticContent,E_operatingConditions,I_modality,I_representationForm,I_unitOfObservation,I_measurementUnit,I_source,I_perspective,I_encodingMethod,I_spatialReference,I_temporalReference
RES-CON-0019-01,Wang2026,Wang2026,2026,not reported,not reported,notReported,notReported,notReported,notReported,captured,notReported,notReported,captured,notReported,captured,notReported,captured,notReported,captured,captured,notReported,notReported,notReported,notReported,notReported,reported,notReported,notReported,notReported,notReported,notReported
RES-CON-0020-01,Alwisy2026,Alwisy2026,2026,not reported,11 core prefabrication tasks,notReported,notReported,captured,notReported,captured,captured,captured,notReported,captured,notReported,notReported,notReported,notReported,captured,captured,notReported,captured,notReported,notReported,notReported,reported,notReported,notReported,notReported,reported,notReported
RES-CON-0021-01,Lee2026,Lee2026,2026,not reported,Pick-and-Place,captured,captured,notReported,notReported,notReported,captured,notReported,captured,captured,notReported,captured,notReported,captured,captured,notReported,notReported,notReported,notReported,reported,reported,notReported,notReported,notReported,reported,notReported,reported
RES-CON-0022-01,10.1145/3800645.3812995,Kenny2026,2026,immersive/VR,block placement,notReported,notReported,notReported,notReported,notReported,captured,captured,captured,captured,captured,notReported,captured,notReported,captured,notReported,notReported,captured,notReported,reported,notReported,reported,notReported,notReported,notReported,notReported,reported
RES-CON-0023-01,Lin2026,Lin2026,2026,not reported,wall panel installation,captured,notReported,notReported,captured,notReported,captured,notReported,captured,captured,captured,notReported,captured,notReported,captured,captured,captured,notReported,reported,reported,reported,notReported,notReported,reported,notReported,notReported,notReported
RES-CON-0024-01,WOS:001762188400001,Kobayashi2026,2026,not reported,not reported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,captured,captured,notReported,notReported,captured,reported,reported,notReported,reported,notReported,notReported,notReported,reported,notReported
RES-CON-0025-01,Wang2026,Wang2026,2026,not reported,wooden wall panel manufacturing,notReported,notReported,notReported,notReported,captured,captured,captured,captured,captured,captured,captured,captured,notReported,captured,notReported,notReported,captured,reported,reported,notReported,reported,notReported,notReported,reported,notReported,notReported
RES-CON-0026-01,Zaolin2026,Zaolin2026,2026,not reported,not reported,captured,notReported,captured,notReported,notReported,notReported,notReported,captured,captured,captured,captured,captured,notReported,captured,notReported,notReported,captured,notReported,reported,notReported,notReported,notReported,reported,reported,reported,notReported
RES-CON-0027-01,WOS:001760373800001,Wu2026,2026,not reported,ground leveling,captured,notReported,notReported,notReported,captured,notReported,notReported,notReported,captured,captured,notReported,notReported,notReported,captured,captured,captured,captured,reported,reported,notReported,notReported,notReported,notReported,reported,reported,notReported
RES-CON-0028-01,Yuan2025346,Yuan2025,2025,not reported,wall panel installation; point-based drilling; anchor bolt alignment; surface smoothing,notReported,notReported,captured,notReported,notReported,captured,notReported,notReported,captured,captured,notReported,captured,notReported,captured,notReported,notReported,captured,reported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0030-01,Fu2025,Fu2025,2025,immersive/VR,window installation,captured,captured,notReported,notReported,captured,captured,captured,captured,notReported,captured,notReported,captured,notReported,captured,notReported,notReported,notReported,reported,notReported,notReported,reported,notReported,notReported,reported,notReported,notReported
RES-CON-0031-01,Sabiri202554,Sabiri2025,2025,immersive/VR,wall construction; reinforcement,notReported,captured,notReported,notReported,notReported,captured,notReported,captured,notReported,captured,notReported,notReported,notReported,notReported,captured,captured,notReported,reported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0034-01,Yang2025,Yang2025,2025,not reported,robotic fabrication,captured,notReported,captured,notReported,captured,captured,notReported,captured,captured,captured,captured,captured,notReported,captured,notReported,captured,notReported,reported,reported,reported,reported,notReported,notReported,notReported,reported,reported
RES-CON-0036-01,Loy2025451,Loy2025,2025,immersive/VR,Architectural Design-Fabrication,captured,notReported,notReported,notReported,notReported,captured,notReported,captured,notReported,captured,notReported,notReported,notReported,captured,captured,notReported,notReported,reported,reported,reported,notReported,notReported,notReported,notReported,notReported,reported
RES-CON-0039-01,Hwang2025,Hwang2025,2025,not reported,Collaborative Bricklaying,notReported,notReported,notReported,notReported,captured,captured,notReported,notReported,captured,notReported,captured,notReported,captured,captured,captured,captured,captured,reported,reported,reported,reported,reported,reported,notReported,notReported,notReported
RES-CON-0040-01,Khajehee2025265,Khajehee2025,2025,not reported,BRICKLAYING,notReported,notReported,captured,notReported,notReported,captured,notReported,captured,notReported,captured,captured,captured,notReported,captured,notReported,notReported,notReported,reported,reported,notReported,reported,notReported,notReported,notReported,reported,reported
RES-CON-0041-01,Lee2025,Lee2025,2025,not reported,tile-laying,captured,captured,notReported,captured,notReported,captured,notReported,notReported,captured,captured,notReported,notReported,notReported,notReported,notReported,notReported,captured,reported,notReported,reported,reported,reported,notReported,notReported,reported,notReported
RES-CON-0042-01,Johnsson2025745,Johnsson2025,2025,not reported,manufacturing structural connection joints; initial guide cuts along beams,notReported,notReported,notReported,notReported,notReported,captured,notReported,captured,notReported,captured,notReported,captured,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,reported,reported,notReported
RES-CON-0043-01,doi:10.1061/JCCEE5.CPENG-6302,Chang2025,2025,immersive/VR,masonry task,captured,captured,captured,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,captured,notReported,captured,captured,notReported,captured,reported,reported,notReported,reported,reported,notReported,reported,reported,reported
RES-CON-0044-01,Lin2025,Lin2025,2025,on-site,not reported,notReported,notReported,notReported,notReported,notReported,captured,captured,captured,captured,notReported,notReported,captured,captured,captured,notReported,captured,captured,reported,reported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0045-01,Guan2025,Guan2025,2025,not reported,earthmoving,notReported,captured,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,captured,captured,notReported,notReported,captured,notReported,reported,notReported,reported,notReported,notReported,notReported,notReported,reported
RES-CON-0046-01,Lee2025374,Lee2025,2025,laboratory mock-up,bricklaying,notReported,notReported,notReported,notReported,captured,captured,notReported,captured,notReported,notReported,notReported,notReported,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0047-01,Shayesteh20251996,Shayesteh2025,2025,immersive/VR,bricklaying construction,captured,captured,notReported,notReported,captured,captured,notReported,captured,notReported,captured,notReported,notReported,captured,notReported,notReported,notReported,captured,reported,notReported,notReported,notReported,notReported,notReported,reported,notReported,reported
RES-CON-0048-01,WOS:001538991700001,Liang2025,2025,laboratory mock-up,3D printing,notReported,notReported,notReported,notReported,captured,captured,notReported,notReported,notReported,notReported,notReported,notReported,captured,captured,notReported,notReported,notReported,reported,reported,notReported,reported,reported,notReported,notReported,reported,notReported
RES-CON-0049-01,Duan2025713,Duan2025,2025,not reported,reinforcement,notReported,notReported,captured,notReported,notReported,captured,captured,captured,captured,notReported,notReported,notReported,notReported,captured,notReported,notReported,notReported,notReported,reported,reported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0050-01,Zhao2025263,Zhao2025,2025,immersive/VR,picking up bricks; applying mortar; placing bricks at designated locations,notReported,captured,notReported,notReported,captured,notReported,notReported,notReported,notReported,captured,captured,captured,notReported,captured,notReported,notReported,notReported,reported,reported,notReported,reported,notReported,notReported,reported,notReported,reported
RES-CON-0051-01,Yang2025,Yang2025,2025,immersive/VR,holding the timber beam; inserting screws,captured,captured,notReported,notReported,captured,captured,captured,captured,notReported,captured,captured,notReported,notReported,captured,notReported,captured,notReported,reported,notReported,reported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0052-01,Chang2025412,Chang2025,2025,on-site,bricklaying,captured,captured,notReported,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,captured,notReported,captured,notReported,notReported,notReported,reported,notReported,notReported,reported,notReported,notReported,reported,notReported,reported
RES-CON-0053-01,Han2025325,Han2025,2025,on-site,structure assembly,notReported,notReported,notReported,captured,notReported,captured,notReported,captured,captured,captured,notReported,notReported,notReported,captured,notReported,notReported,captured,reported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0055-01,Lin2025,Lin2025,2025,on-site,not reported,captured,captured,captured,notReported,captured,notReported,notReported,captured,captured,captured,notReported,captured,notReported,captured,captured,notReported,notReported,reported,notReported,notReported,reported,notReported,notReported,notReported,notReported,notReported
RES-CON-0056-01,Luo2025347,Luo2025,2025,not reported,pick-and-place,notReported,notReported,captured,notReported,notReported,captured,notReported,notReported,captured,captured,notReported,captured,captured,notReported,notReported,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,reported
RES-CON-0057-01,Park2025,Park2025,2025,not reported,line-drawing,captured,captured,captured,notReported,captured,captured,captured,notReported,captured,notReported,notReported,captured,notReported,captured,notReported,notReported,notReported,notReported,notReported,reported,notReported,notReported,notReported,notReported,reported,notReported
RES-CON-0058-01,Hidding2025513,Hidding2025,2025,on-site,assembly of 3D-printed building components,notReported,notReported,notReported,notReported,notReported,captured,notReported,captured,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,reported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0059-01,Guo2025,Guo2025,2025,simulation,pipeline malfunction inspection,captured,captured,notReported,notReported,captured,notReported,notReported,notReported,notReported,captured,captured,captured,notReported,captured,notReported,notReported,captured,reported,notReported,notReported,reported,notReported,notReported,reported,notReported,reported
RES-CON-0060-01,Park2025,Park2025,2025,immersive/VR,drywall installation,captured,captured,captured,notReported,captured,captured,captured,captured,captured,captured,captured,notReported,notReported,captured,captured,notReported,notReported,reported,notReported,notReported,reported,notReported,notReported,notReported,notReported,notReported
RES-CON-0061-01,Zhou2025234,Zhou2025,2025,simulation,not reported,notReported,notReported,captured,notReported,captured,captured,notReported,captured,captured,notReported,captured,captured,captured,captured,captured,notReported,captured,reported,reported,notReported,notReported,notReported,reported,notReported,notReported,notReported
RES-CON-0062-01,Zhang2025954,Zhang2025,2025,immersive/VR,not reported,notReported,captured,captured,notReported,captured,captured,captured,captured,notReported,notReported,notReported,captured,notReported,captured,notReported,notReported,captured,reported,notReported,notReported,notReported,notReported,notReported,reported,notReported,notReported
RES-CON-0063-01,Kudla2025,Kudla2025,2025,not reported,Plastering,notReported,notReported,captured,notReported,notReported,captured,notReported,captured,captured,captured,notReported,captured,captured,captured,notReported,notReported,notReported,reported,reported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0064-01,WOS:001693089900053,Chen2025,2025,simulation,bricklaying,notReported,captured,captured,notReported,captured,captured,captured,captured,captured,notReported,captured,notReported,notReported,captured,captured,notReported,captured,reported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0065-01,Zhu2025166,Zhu2025,2025,not reported,robotic masonry,notReported,notReported,notReported,captured,notReported,captured,notReported,captured,captured,notReported,captured,captured,captured,captured,notReported,notReported,captured,notReported,notReported,notReported,reported,notReported,notReported,notReported,notReported,notReported
RES-CON-0066-01,Chang2025,Chang2025,2025,not reported,bricklaying,notReported,captured,notReported,notReported,captured,captured,notReported,notReported,notReported,captured,notReported,captured,notReported,notReported,notReported,notReported,notReported,reported,notReported,notReported,reported,reported,notReported,notReported,notReported,reported
RES-CON-0067-01,Tehrani2025,Tehrani2025,2025,not reported,Wood Assembly,notReported,notReported,notReported,captured,notReported,captured,notReported,captured,notReported,captured,captured,captured,notReported,captured,captured,notReported,captured,reported,reported,notReported,reported,notReported,notReported,notReported,notReported,notReported
RES-CON-0068-01,Zhang2025877,Zhang2025,2025,immersive/VR,not reported,captured,captured,notReported,notReported,captured,notReported,captured,captured,notReported,notReported,notReported,notReported,notReported,captured,notReported,notReported,notReported,reported,notReported,reported,notReported,reported,notReported,notReported,notReported,notReported
RES-CON-0069-01,Back2025413,Back2025,2025,not reported,reinforcement,notReported,notReported,notReported,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0070-01,Xiong2025295,Xiong2025,2025,not reported,natural timber structure construction,captured,notReported,notReported,notReported,notReported,captured,notReported,captured,notReported,captured,notReported,notReported,captured,captured,notReported,notReported,notReported,notReported,notReported,reported,reported,notReported,reported,notReported,reported,notReported
RES-CON-0071-01,Guo202513256,Guo2025,2025,not reported,not reported,captured,captured,captured,notReported,captured,captured,notReported,captured,notReported,captured,captured,captured,notReported,captured,notReported,notReported,notReported,reported,notReported,notReported,reported,notReported,notReported,notReported,notReported,reported
RES-CON-0072-01,Pan2025682,Pan2025,2025,not reported,not reported,notReported,notReported,captured,captured,notReported,notReported,notReported,captured,captured,captured,captured,captured,notReported,notReported,captured,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0073-01,Birol2025,Birol2025,2025,not reported,Clay Printing,notReported,notReported,notReported,notReported,captured,captured,notReported,captured,notReported,notReported,notReported,notReported,captured,captured,notReported,notReported,notReported,notReported,notReported,notReported,reported,notReported,notReported,notReported,notReported,notReported
RES-CON-0074-01,Rasines2025,Rasines2025,2025,not reported,Mastic Deposition,notReported,captured,captured,notReported,captured,captured,notReported,captured,captured,notReported,notReported,captured,notReported,captured,notReported,notReported,notReported,reported,reported,notReported,reported,reported,notReported,notReported,notReported,notReported
RES-CON-0075-01,Mansuri202597,Mansuri2025,2025,not reported,Robotic Fabrication,notReported,notReported,captured,notReported,notReported,captured,notReported,captured,captured,notReported,captured,captured,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,reported,notReported
RES-CON-0076-01,WOS:001723278600004,Bagheri2025,2025,not reported,dry-assembled pavilion structure production,notReported,notReported,notReported,notReported,notReported,captured,notReported,captured,captured,captured,captured,notReported,captured,captured,notReported,notReported,notReported,notReported,notReported,notReported,reported,notReported,notReported,notReported,notReported,notReported
RES-CON-0077-01,Duan2025,Duan2025,2025,on-site,window-frame operation,notReported,captured,captured,notReported,notReported,captured,captured,captured,captured,captured,notReported,notReported,notReported,captured,notReported,captured,notReported,reported,reported,reported,notReported,notReported,notReported,notReported,reported,reported
RES-CON-0078-01,Tian2025,Tian2025,2025,not reported,hammer handover; trowel handover; rebar lifting,notReported,notReported,notReported,captured,notReported,captured,notReported,captured,captured,notReported,notReported,notReported,notReported,captured,captured,captured,notReported,reported,notReported,notReported,reported,notReported,notReported,notReported,reported,notReported
RES-CON-0079-01,Ron2025964,Ron2025,2025,laboratory mock-up,Timber Assembly,captured,notReported,captured,notReported,notReported,captured,notReported,captured,captured,captured,notReported,captured,notReported,captured,notReported,notReported,notReported,reported,reported,reported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0080-01,Chenchu2025813,Chenchu2025,2025,not reported,drywall installation,captured,captured,captured,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,reported
RES-CON-0081-01,Wang2025,Wang2025,2025,not reported,structure assembly,notReported,notReported,notReported,captured,notReported,captured,notReported,captured,captured,captured,captured,captured,captured,captured,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0082-01,Zhang2025,Zhang2025,2025,not reported,Plastering,captured,captured,notReported,captured,notReported,captured,notReported,captured,captured,captured,captured,captured,captured,captured,captured,notReported,captured,reported,notReported,notReported,reported,reported,notReported,reported,notReported,notReported
RES-CON-0083-01,Tian2025,Tian2025,2025,not reported,brick laying,notReported,notReported,notReported,notReported,captured,captured,notReported,captured,notReported,captured,captured,captured,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0084-01,Wang2025837,Wang2025,2025,not reported,wooden wall panel manufacturing,captured,notReported,notReported,notReported,captured,captured,notReported,captured,notReported,captured,captured,notReported,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,reported,notReported,notReported
RES-CON-0085-01,Jayasuriya20245637,Jayasuriya2024,2024,not reported,pick-and-place,notReported,captured,notReported,captured,captured,captured,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,reported,notReported,notReported,notReported,notReported,notReported,notReported,reported
RES-CON-0086-01,Wei2024438,Wei2024,2024,not reported,multi-manipulator fabrication,notReported,notReported,notReported,captured,notReported,captured,notReported,captured,captured,captured,captured,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,reported,notReported,notReported,notReported,notReported,notReported
RES-CON-0088-01,Fu2024924,Fu2024,2024,not reported,not reported,notReported,captured,notReported,notReported,notReported,notReported,notReported,captured,captured,captured,notReported,notReported,notReported,captured,notReported,notReported,notReported,reported,notReported,notReported,reported,notReported,notReported,notReported,reported,notReported
RES-CON-0089-01,Amani2024679,Amani2024,2024,not reported,not reported,notReported,notReported,notReported,notReported,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,reported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0091-01,Tian2024952,Tian2024,2024,not reported,tool handover,captured,notReported,notReported,captured,notReported,captured,notReported,captured,captured,notReported,notReported,notReported,notReported,captured,notReported,notReported,captured,notReported,reported,notReported,reported,notReported,notReported,notReported,notReported,notReported
RES-CON-0092-01,Liang2024856,Liang2024,2024,not reported,placing wood pieces; nailing wood pieces,notReported,captured,captured,notReported,notReported,captured,notReported,captured,captured,notReported,notReported,notReported,captured,captured,captured,notReported,notReported,reported,reported,notReported,reported,notReported,notReported,notReported,reported,notReported
RES-CON-0093-01,Chauhan2024,Chauhan2024,2024,not reported,bricklaying,captured,notReported,captured,notReported,captured,captured,notReported,captured,captured,notReported,notReported,captured,notReported,captured,notReported,notReported,captured,reported,notReported,notReported,reported,notReported,notReported,notReported,notReported,reported
RES-CON-0094-01,Skevaki2024291,Skevaki2024,2024,not reported,SPACE FRAME ASSEMBLY,notReported,notReported,notReported,captured,notReported,captured,notReported,captured,captured,captured,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0095-01,Emaminejad2024,Emaminejad2024,2024,not reported,reinforcement,captured,notReported,captured,notReported,notReported,captured,notReported,notReported,notReported,notReported,notReported,captured,notReported,captured,captured,notReported,notReported,reported,reported,notReported,reported,notReported,notReported,notReported,reported,notReported
RES-CON-0096-01,Bavelos20241077,Bavelos2024,2024,laboratory mock-up,road maintenance,notReported,notReported,captured,notReported,notReported,captured,captured,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,captured,captured,notReported,reported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0099-01,Park2024916,Park2024,2024,immersive/VR,drywall installation,notReported,notReported,captured,notReported,notReported,notReported,notReported,notReported,captured,notReported,notReported,notReported,notReported,notReported,captured,notReported,notReported,reported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0100-01,Rogeau2024642,Rogeau2024,2024,not reported,timber joint assembly,notReported,notReported,notReported,captured,notReported,captured,captured,captured,captured,captured,captured,captured,notReported,notReported,notReported,notReported,notReported,notReported,reported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0101-01,Liang2024479,Liang2024,2024,not reported,not reported,notReported,captured,notReported,notReported,notReported,captured,notReported,captured,captured,notReported,notReported,notReported,notReported,captured,notReported,notReported,notReported,reported,notReported,notReported,notReported,notReported,notReported,reported,notReported,notReported
RES-CON-0102-01,Wang20243489,Wang2024,2024,not reported,not reported,notReported,captured,captured,captured,captured,captured,notReported,captured,captured,notReported,notReported,captured,notReported,notReported,notReported,captured,notReported,notReported,notReported,reported,notReported,reported,reported,notReported,notReported,reported
RES-CON-0104-01,WOS:001112023900001,Heravi2024,2024,not reported,not reported,notReported,captured,captured,notReported,captured,notReported,notReported,notReported,captured,notReported,notReported,notReported,notReported,captured,notReported,notReported,captured,reported,reported,notReported,reported,notReported,notReported,notReported,notReported,notReported
RES-CON-0106-01,Baek2024,Baek2024,2024,laboratory mock-up,bricklaying,captured,notReported,notReported,captured,captured,captured,notReported,captured,notReported,notReported,notReported,notReported,notReported,captured,notReported,notReported,notReported,notReported,notReported,reported,notReported,reported,notReported,reported,notReported,notReported
RES-CON-0108-01,Wang2024,Wang2024,2024,not reported,drywall installation; brick pick-and-place,notReported,notReported,notReported,captured,notReported,captured,captured,captured,captured,captured,captured,captured,captured,captured,captured,captured,captured,reported,reported,notReported,reported,notReported,notReported,reported,reported,notReported
RES-CON-0110-01,WOS:001175569900029,Li2024,2024,immersive/VR,moving the robot to the stack of window panels; picking up the window; transporting the window to the installation location; installing the window to the target pose,captured,notReported,notReported,captured,notReported,captured,notReported,notReported,captured,captured,notReported,captured,notReported,captured,notReported,notReported,notReported,notReported,reported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0111-01,Wang2024991,Wang2024,2024,not reported,not reported,notReported,captured,captured,notReported,captured,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,captured,notReported,notReported,notReported,reported,notReported,notReported,notReported,notReported,reported,notReported,notReported,reported
RES-CON-0112-01,Cai2024,Cai2024,2024,not reported,not reported,notReported,captured,captured,notReported,captured,notReported,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,reported,notReported,notReported,notReported,notReported,reported,notReported,notReported
RES-CON-0113-01,Liang2024962,Liang2024,2024,not reported,assembly process,notReported,captured,captured,captured,notReported,notReported,notReported,captured,captured,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,reported,notReported,notReported,notReported,notReported,reported,notReported,reported,notReported
RES-CON-0114-01,WOS:001283941000028,Kyaw2024,2024,not reported,Robotic Fabrication,notReported,notReported,captured,notReported,notReported,captured,notReported,notReported,notReported,captured,notReported,notReported,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0115-01,Yu2024787,Yu2024,2024,simulation,object handover,notReported,notReported,captured,notReported,notReported,notReported,notReported,captured,notReported,notReported,notReported,captured,notReported,captured,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported,notReported
RES-CON-0116-01,Zhao2024933,Zhao2024,2024,simulation,not reported,notReported,notReported,notReported,captured,notReported,captured,notReported,captured,notReported,notReported,notReported,notReported,notReported,captured,notReported,notReported,notReported,reported,notReported,notReported,notReported,notReported,notReported,notReported,reported,notReported
RES-CON-0117-01,Yu2024823,Yu2024,2024,immersive/VR,ceiling installation,notReported,notReported,notReported,notReported,notReported,captured,notReported,captured,captured,captured,captured,notReported,notReported,notReported,captured,notReported,notReported,notReported,notReported,notReported,reported,notReported,notReported,notReported,notReported,notReported
RES-CON-0119-01,Nassar2024639,Nassar2024,2024,not reported,bricklaying,captured,captured,notReported,notReported,notReported,notReported,notReported,captured,notReported,notReported,notReported,captured,notReported,captured,notReported,notReported,notReported,reported,notReported,notReported,notReported,notReported,reported,notReported,notReported,notReported
